city,country_code,Latitude,Longitude,Temperature,Wind_speed,Humidity,Cloudiness
darhan,mn,49.49,105.92,5.23,1.16,86.0,0.0
kyra,ru,49.58,111.97,13.28,0.96,89.0,48.0
paraopeba,br,-19.28,-44.4,25.0,4.1,47.0,75.0
souillac,mu,-20.52,57.52,23.0,6.7,73.0,75.0
slave lake,ca,55.28,-114.77,15.43,1.81,72.0,76.0
meulaboh,id,4.14,96.13,26.03,1.41,100.0,80.0
oranzherei,ru,45.85,47.57,17.0,1.0,63.0,0.0
zakamensk,ru,50.38,103.29,3.18,0.61,83.0,0.0
riberalta,bo,-11.0,-66.08,25.0,2.6,88.0,75.0
alamos,mx,27.02,-108.93,36.98,1.86,39.0,0.0
gambela,et,8.25,34.59,15.38,0.91,90.0,32.0
gejiu,cn,23.36,103.16,17.48,0.91,100.0,88.0
mao,td,14.12,15.31,25.93,4.11,77.0,0.0
ishimbay,ru,53.45,56.04,11.68,3.46,90.0,0.0
gucheng,cn,32.27,111.65,20.03,1.21,90.0,0.0
troitsko-pechorsk,ru,62.71,56.19,7.18,1.21,91.0,0.0
warangal,in,17.99,79.6,25.48,4.31,78.0,92.0
daltenganj,in,24.03,84.07,24.48,1.56,99.0,92.0
coventry,us,41.7,-71.68,27.2,2.6,60.0,20.0
traunstein,de,47.87,12.64,12.0,0.5,93.0,75.0
shahr-e babak,ir,30.12,55.12,20.93,5.16,22.0,0.0
zanesville,us,39.94,-82.01,23.9,4.1,66.0,90.0
konevo,ru,56.45,43.2,16.0,3.76,87.0,20.0
leua,ao,-11.65,20.45,24.18,2.11,39.0,92.0
mercedes,ph,14.11,123.01,28.53,7.66,100.0,92.0
avarua,ck,-21.21,-159.78,25.0,2.6,78.0,20.0
sisimiut,gl,66.94,-53.67,6.53,0.61,73.0,68.0
tual,id,-5.67,132.75,26.03,3.56,99.0,48.0
lloret de mar,es,41.7,2.85,23.0,2.6,60.0,75.0
hommelvik,no,63.41,10.8,10.0,4.1,93.0,75.0
shupiyan,in,33.72,74.83,11.93,0.21,91.0,44.0
campina verde,br,-19.54,-49.49,22.88,1.56,88.0,68.0
areosa,pt,41.72,-8.86,21.0,7.2,64.0,0.0
